day_of_week,hour_value,total_traffic,norm_total_traffic
3,10,81495807676723.92,0.26418913488730006
3,11,85817238781586.55,0.37905040518795924
3,12,106015572788935.9,0.9159110529096363
3,13,107576537522255.16,0.9574006399961527
3,14,91219633155095.2,0.5226430867207276
3,15,91548644717873.05,0.5313880337364847
3,16,96760244772114.77,0.6699095068326565
3,17,106059899225005.2,0.9170892252861649
3,18,109833865083633.08,1.017399169393696
3,19,105082892213339.56,0.8911209143888114
3,20,106362525652357.34,0.9251328698633291
3,21,114240967133014.06,1.134537526445585
3,22,115747087300247.75,1.1745693750244603
3,23,87223993136604.62,0.4164411649380207
4,0,444493938.39043427,-0.33261209487046683
4,1,30860659392130.684,-1.0816653546789543
4,2,20102831057736.63,-1.3676025357147739
4,3,15036117115791.166,-1.502273015354508
4,4,13835927192455.76,-1.5341734057231606
4,5,15822516127863.402,-1.4813709606189456
4,6,29719653891579.473,-1.1119926555274815
4,7,59151845383332.69,-0.3297011367130227
4,8,75709386146221.27,0.11038922199715859
4,9,80796064093531.48,0.2455903339577239
4,10,82729576746802.05,0.296982040572497
4,11,86902664603888.1,0.40790042865041976
4,12,101659277738522.4,0.8001231180442776
4,13,105176910401877.98,0.8936198663111823
4,14,93732560669980.73,0.5894353227946627
4,15,95845640444647.06,0.6455998250799585
4,16,101814430583285.89,0.8042469956227589
4,17,108399499359000.23,0.979274514572364
4,18,109423731964699.95,1.006498055875995
4,19,104887319571460.55,0.885922700756063
4,20,102398156828258.67,0.819762119288612
4,21,110054769334336.72,1.0232706833053915
4,22,111864123265709.38,1.0713623191403592
4,23,89823148980786.0,0.48552530274508293
5,0,775017241.4106808,-0.1790713233861265
5,1,39814847229770.4,-0.8436679495173359
5,2,26350430659791.47,-1.2015447624427587
5,3,18584080762261.586,-1.407970086180052
5,4,14922403233887.408,-1.5052954680118205
5,5,13809439625556.566,-1.5348774307341788
5,6,19518740035265.43,-1.3831273549666094
5,7,36200162898478.625,-0.9397442779264314
5,8,59491496152065.19,-0.3206734054340693
5,9,74696151392759.81,0.08345799757837721
5,10,81742504564053.75,0.2707462029442311
5,11,85440871562830.39,0.36904677079073045
5,12,87673936126967.7,0.42840040301955046
5,13,90623719590434.28,0.5068040307771241
5,14,93757309283816.94,0.5900931273863426
5,15,95550923012239.12,0.637766397253692
5,16,96968319659293.16,0.6754400232932992
5,17,102723801217400.73,0.8284175686745923
5,18,105994607627769.16,0.9153538104162963
5,19,100796879629452.0,0.7772010489636779
5,20,97256792619961.7,0.6831074764831689
5,21,102538144996540.53,0.8234829280775855
5,22,102675507209487.1,0.8271339404129664
5,23,85899464625405.47,0.3812359230507704
6,0,919494226.0368617,-0.1448833370348591
6,1,46311044099495.6,-0.6710025971204886
6,2,32202428833711.387,-1.0460018583114783
6,3,22194976931154.023,-1.3119944450513352
6,4,16331977304425.746,-1.4678297617686449
6,5,13472314113160.328,-1.5438380420837432
6,6,15608778557012.285,-1.4870519881080364
6,7,26048282077446.375,-1.2095757061615302
6,8,43990096026202.414,-0.7326921248559534
6,9,62947306145393.32,-0.22881986985305944
6,10,75843610204932.2,0.1139568239128991
6,11,82226488203739.75,0.2836102228279491
6,12,83962077600911.9,0.3297412377723344
6,13,85251034123929.84,0.3640009957098308
6,14,93554316775473.38,0.5846976977696069
6,15,97940535189256.97,0.7012809792331075
6,16,101039572622362.88,0.7836516957013859
6,17,104269614584636.16,0.8695044407546793
6,18,106783787094196.38,0.9363297681047177
6,19,102259866144151.73,0.8160864286986598
6,20,104627176184380.7,0.8790082321054615
6,21,112702697463141.64,1.0936511617068976
6,22,112174779909672.3,1.07961940247388
6,23,82772132436170.12,0.29811314747220846
