day_of_week,hour_value,total_traffic,norm_total_traffic
5,5,6098772989.438929,-0.591959640296766
5,6,4498245771.560877,-1.0363980605189569
5,7,4203004235.863662,-1.1183814721370413
5,8,5105557739.33221,-0.867758147043342
5,9,6230292253.191984,-0.5554390406104398
5,10,7073666219.677092,-0.3212488380732386
5,11,8674395905.294685,0.12324580389969961
5,12,10386926003.478485,0.5987854654050078
5,13,10144224556.710812,0.5313915177218991
5,14,9422016638.024704,0.3308470078457376
5,15,8826260281.871223,0.16541588564513046
5,16,8899069485.900885,0.18563372840039394
5,17,8989187334.471333,0.2106578790709289
5,18,10681098406.533499,0.6804719975841171
5,19,14266153394.684076,1.6759790764676255
5,20,15777694968.229252,2.095707739337367
5,21,13944065549.54969,1.5865409141762778
5,22,12263497307.030132,1.1198765010766907
5,23,10006540390.544453,0.4931590324401345
6,0,14308345530.083721,1.1528224979657535
6,1,14757746781.23262,1.8124859634913726
6,2,13606878056.428478,1.492909843684298
6,3,10856877760.409138,0.7292828503278402
