insee,norm_km2_total_traffic,norm_total_traffic
10090,3232135336747.4688,-0.06351084424477228
10091,1040214128580.7699,-0.0727266476051066
10092,2789049419436.8403,-0.06537377283474811
10093,1496091673445.0154,-0.070809937371998
10094,433280338898.7563,-0.07527846490474858
10095,2651115481966.5444,-0.065953707934471
10096,3088808082138.481,-0.06411345522811039
10097,2602911871470.9614,-0.06615637716999385
10098,478470887932.70966,-0.07508846390832098
10099,1037205621391.1672,-0.07273929669603388
1010,4212160310705.1665,-0.05939038707935941
10100,7579437694692.547,-0.045232868043132896
10101,717459855724.125,-0.07408364889752181
10102,1639516687728.7346,-0.07020691536387691
10103,1528112790380.5095,-0.07067530647561528
10104,6891899601709.671,-0.048123581379023735
10105,910908666240.7316,-0.07327030479036628
10106,4362204512879.0913,-0.0587595350863949
10107,1190539027574.2607,-0.07209461543892995
10108,1022941957200.2661,-0.07279926743033374
10109,2854700331367.1787,-0.06509774745002059
1011,17025594939463.627,-0.005517057386134535
10110,1783225098847.445,-0.06960270183048817
10111,1891161946786.416,-0.06914888772337807
10112,3910744404240.894,-0.06065767246959247
10113,25801649350700.14,0.031381345454356335
10114,1744728929461.9219,-0.06976455670276245
10115,29681728708946.76,0.047694910127605114
10116,2356770815156.5796,-0.06719126271489698
10117,2327924459029.3745,-0.06731254551682435
10118,1463248781505.3445,-0.07094802337288755
10119,689401337235.6401,-0.07420161928259257
1012,1387764522072.5764,-0.0712653924868598
10120,436265389791.18286,-0.07526591443443847
10121,662800841692.5427,-0.07431345949623677
10122,1052351636725.7369,-0.0726756161684237
10123,2590071031690.8706,-0.06621036572302849
10124,5277967516547.243,-0.05490926358255124
10125,4930386962094.069,-0.05637064551078012
10126,1706086968916.3484,-0.06992702454536508
10127,717909662551.444,-0.07408175771126235
10128,311580243447.7226,-0.07579014577376518
10129,1851797188352.2168,-0.06931439452704646
1013,2568029268048.9824,-0.06630303901743423
10130,3339114070477.315,-0.06306105847230994
10131,2878186837041.652,-0.06499899982300239
10132,2144103866729.7756,-0.06808540834870971
10133,879065475945.1466,-0.07340418760469211
10134,3809757715957.4473,-0.061082265040604655
10135,1453951765762.3428,-0.07098711212690215
10136,989181620154.5785,-0.07294121077502717
10137,1873373674269.248,-0.06922367746537585
10138,3118072053174.245,-0.06399041658894612
10139,1727828475646.0671,-0.06983561366342647
1014,24302969597032.09,0.025080234876813785
10140,995860179546.7426,-0.07291313116620766
10141,2840561675203.359,-0.06515719259544811
10142,2989189114505.1865,-0.06453229729836701
10143,426863412920.7671,-0.07530544449131887
10144,1250506535245.9573,-0.07184248559199356
10145,871721921724.0286,-0.0734350631450243
10146,1676745151153.8633,-0.07005039048649761
10147,1816417926422.7786,-0.06946314454587044
10148,1705255557072.8577,-0.06993052016739407
10149,1770074151820.3135,-0.06965799421114158
1015,4794168411956.144,-0.05694336836570014
10150,15373281055089.568,-0.01246411359928991
10151,2998718928945.377,-0.06449222975596904
10153,10399523579982.498,-0.03337598336988145
10154,3984110070479.1978,-0.060349210855674504
10155,1306620055853.041,-0.07160655960622171
10156,2587100930251.156,-0.06622285333924693
10157,9980900567885.611,-0.03513605911859986
10158,1711922531232.0637,-0.06990248926800281
10159,4032125361151.011,-0.060147333399736734
1016,4630716847094.617,-0.05763059082382976
10160,2653283284355.475,-0.06594459353726274
10161,1300453656888.009,-0.07163248586675122
10162,5862034302899.001,-0.05245358924888202
10163,1166895357641.7483,-0.0721940238537958
10164,12616757238801.115,-0.024053755304632052
10165,2105881611156.2197,-0.06824611156652699
10166,2337193519538.12,-0.06727357429894235
10167,2606105038396.538,-0.06614295168810462
10168,655224875717.6688,-0.07434531219807154
10169,2621820742528.5728,-0.06607687593756652
1017,4577389183283.751,-0.05785480383911328
10170,2224564302371.2124,-0.06774711719554435
10171,2312530446112.653,-0.06737726873563275
10172,2718574745360.7837,-0.06567007944273599
10173,5978534408943.039,-0.05196377142844223
10174,782251058706.8408,-0.07381123810832761
10175,796332184182.274,-0.07375203484728415
10176,1841056189492.0251,-0.06935955442285854
10177,2065807232256.7014,-0.06841460192756255
10178,1425218598423.8694,-0.07110791903324731
10179,2040795149389.89,-0.06851976375385178
10180,751274642445.096,-0.07394147662238207
10181,1664538376076.5212,-0.07010171315190979
10182,1540752570485.0288,-0.07062216326612074
10183,1427744636605.949,-0.07109729845478856
10184,2604958372616.3105,-0.06614777277670546
10185,520998506556.3541,-0.07490965904564684
10186,4506068858047.534,-0.05815466593749673
10187,5246175348797.588,-0.05504293187559387
10188,764407606119.6903,-0.0738862598516731
10189,3182732092297.042,-0.06371855727046012
1019,1285108924665.0503,-0.07169700188779107
10190,2637256394451.815,-0.06601197765001258
10191,59262280687786.54,0.17206459518354866
10192,1469747014225.3135,-0.07092070193691905
10193,1974247234170.628,-0.06879956053596963
10194,1520111924647.5674,-0.07070894564340677
10195,1375170480067.6594,-0.07131834339321384
10196,3100137360888.256,-0.06406582194422075
10197,1418244027663.724,-0.07113724320439395
10198,2332006343497.685,-0.06729538347447565
10199,3915520590742.5444,-0.06063759127531984
