app,mean,std
Apple iMessage,5.133770297481608,2.462869850423523
Dropbox,6.3668983361007365,1.0984881629764518
Amazon,4.53651483142525,1.8221572767594014
Waze,3.83995549580002,1.1354207791504527
NewsMag,4.996513321312867,1.0932896489889152
OneFichier,5.585364952432923,1.2672955589351336
Soundcloud,3.861276590755806,1.3416607095116346
Orange Mail,3.2596333236970088,1.5141849317898088
BitTorrent,4.3803645513766964,0.6511168199898967
WebM Streaming,5.199103140472993,1.7219676023300148
Women-targeted Sites,3.882074478712174,0.5321907870732436
VK,4.9104639195003665,0.9441497160241625
Yahoo,6.272391379229748,0.8789150315651401
Sports News,4.1800207523166355,0.9040024645284642
Transport,3.9013704230322883,1.7328448087705999
World of Warcraft,6.43436534289377,0.8362425312092064
Blogging,5.057462779318072,0.9037528967077809
Microsoft Skydrive,4.638639623775386,1.0384169869087743
Finances,2.5784414843120587,1.45069139371418
Generic Weather,4.005572194352797,1.295539019721775
Generic Mail ,2.4919268800437555,1.9703107447164632
Adult Content,4.2676633690304335,0.7497477656509115
Gmail,2.4030407048915188,1.3300290297543182
Microsoft Office,4.918535681668322,1.3808094300263853
Apple,3.2945192665713474,2.0959152549737365
Badoo,2.949528409911703,0.8767934638028498
HTTP_GAMES,6.374645119068975,1.6932149081445045
RTMP Protocol Streaming,4.551933201863528,1.0293892926279349
EA Games,4.946218787469504,1.084702456894512
Microsoft Sharepoint,3.602363271544874,0.8411755759262353
Pokemon GO,5.677802509759051,1.752334453247971
GameLoft,5.373869317116277,1.259553256033964
Institutional,2.934958436059269,1.406769595536173
Tripadvisor,5.2021401224501025,2.3688516387774574
MegaUpload,6.4423484988709285,0.7665131381236713
ftp,5.831516539018656,0.5430870803433653
riot games,6.234447209611576,0.7557890559687434
Odnoklassniki,6.054383703996509,1.3149027443222074
TV,5.794839574120215,0.8710371334406684
Yahoo Mail,3.234091224402464,1.2168831742883324
Clash of Clans,4.060825844891269,1.5374596308469444
Radio,3.867626138343087,1.0189515991482536
Google Docs,4.38299982913199,0.8734558830908055
Apple Siri,4.280909293415953,1.4348029029964755
FarmVille,4.592072768819425,1.4294099367218962
Orange Cloud,6.935642495629759,0.8241762916053534
Clips from miscellaneous domains,5.1761887376359335,0.6473773774662336
King com games,8.888615545045957,2.827690442667337
Wikipedia,5.6036104610912565,1.76898126828811
MiniClip Games,4.620631694312381,1.2489345590361172
Apple Mail,3.814836434640838,0.9880939842877693
Microsoft App Store,4.631511293454877,0.7685776038529624
HTTP_FLV,5.029591333469162,0.8107998543917307
OpenVPN,3.784915915575236,0.29113091731237695
Telegram,6.5214559957159866,1.2214731716136937
Plex,6.7095432210008905,0.5384152948591769
Huawei,7.762469824687994,1.2178682809231711
Samsung App Store,5.55182867583863,1.6370802656750825
Cooking,4.339420937072939,1.7188160959916008
Skype,4.7096786724250395,1.412287158161581
Uber,4.139398451024455,0.9974400064828387
Computer News,5.190087990837298,1.3441688498163287
Facebook Messenger,5.657999597410417,1.6000003238221712
Mappy,4.819051244591017,1.6784902210918573
SSH,7.287350978142253,0.502650720760654
Generic Remote Surveillance,5.309120855363277,0.8947118057717698
Games,7.72239377302918,0.7711441997751246
Playtika,5.438273445510471,0.8185495506722985
Money-Stock,3.185612771258899,1.2908174949619702
Fornite,4.747060428115253,1.3456944443115118
Health WebSites,6.726304808577944,2.782010300820458
Page Jaunes,3.578310739174504,1.782440732204444
iPhone VVM,2.8851688854626123,1.3523200679812555
WeChat,5.522826546922504,1.8265653912732265
Keep2Share,8.709689974576081,0.7659598084733567
Airfrance,5.618235232588504,1.45185370324112
Tor,7.893264061018273,0.5986278452566751
Synology,5.805422130906634,0.3760030363788099
9GAG,5.8041072216340135,0.8366060498791722
Remote Camera,6.4315965121648695,1.0448046177169017
IONOS Mail,3.4051144645004596,0.6802141760327169
Winamax poker,4.883065378183612,1.0339286372643384
Viber,5.259329624677902,1.4501981744567751
Box.com,7.057064647025032,0.7414602565990664
VPN DGA,5.79972655816399,0.8519718078640525
Disqus,4.531731346884498,0.9935959824236605
Hubic,6.125526625056665,0.559687385005941
MineCraft,4.757812892614508,1.2360713760548223
Shazam,4.7867358249869705,1.6506173327679299
Flipboard,4.694454363025333,0.9460976597967341
CanalPlus,5.798788317748797,0.7736090051659906
TeamViewer,4.513074661998862,0.5782986497583551
KikKik,5.918689298185401,0.5749277978796679
OVH OverTheBox,7.414687949211447,0.7344165443634114
Battle.net,6.370847399972393,1.2786774449926153
IMO,4.95667399892698,1.2885752249914084
