insee,Description,norm_km2_total_traffic,norm_total_traffic_period
10247,Curfew 8pm,47233380789541.53,-0.10805274285699545
10248,Curfew 8pm,85009815046138.47,-0.08980154038091469
10249,Curfew 8pm,114189361330178.9,-0.07570381469900521
1025,Curfew 8pm,75353147428936.16,-0.0944670361958087
10250,Curfew 8pm,24371529039799.63,-0.11909815498955571
10251,Curfew 8pm,37149012140379.94,-0.11292487697132489
10252,Curfew 8pm,35013686606034.78,-0.1139565322730127
10253,Curfew 8pm,156806848582008.88,-0.055113719202654655
10254,Curfew 8pm,82961413257509.8,-0.09079119958333395
10255,Curfew 8pm,123093481931236.9,-0.07140190237828446
10256,Curfew 8pm,28037870426558.773,-0.11732680890268965
10257,Curfew 8pm,181308457815947.72,-0.043276079152222
10258,Curfew 8pm,5122264230282.068,-0.1283981918106024
10259,Curfew 8pm,131054798435640.27,-0.06755549383397738
1026,Curfew 8pm,1721010960670442.5,0.700611550411924
10260,Curfew 8pm,129137046506951.94,-0.06848203122264775
10261,Curfew 8pm,30415618731962.715,-0.11617803013060353
10262,Curfew 8pm,55966877866707.16,-0.1038332651160074
10263,Curfew 8pm,52442323024477.766,-0.1055361088419831
10264,Curfew 8pm,52268844141294.836,-0.10561992295214473
10265,Curfew 8pm,4605557505899782.0,2.09424342924565
10266,Curfew 8pm,100864862310986.75,-0.08214137648262292
10267,Curfew 8pm,32398203597790.55,-0.11522016953512082
10268,Curfew 8pm,127151391221901.95,-0.06944137525202285
10269,Curfew 8pm,85648185512362.19,-0.08949311983082626
1027,Curfew 8pm,320743191335894.75,0.024090034239660878
10270,Curfew 8pm,91955554273993.6,-0.08644579504686419
10271,Curfew 8pm,157172115356178.56,-0.05493724521869224
10272,Curfew 8pm,97337894831820.31,-0.08384538584336818
10273,Curfew 8pm,88524765992755.72,-0.0881033366546326
10274,Curfew 8pm,48505360131462.03,-0.10743820225856063
10275,Curfew 8pm,166935911379036.4,-0.05021999168073528
10276,Curfew 8pm,73652613677401.75,-0.09528862739221029
10278,Curfew 8pm,28017564613107.992,-0.11733661939751333
10279,Curfew 8pm,20856073653890.586,-0.12079660242924888
1028,Curfew 8pm,359438708959206.5,0.04278528012397784
10280,Curfew 8pm,187364128767107.62,-0.040350358955672766
10281,Curfew 8pm,53900191730036.484,-0.10483175816801636
10282,Curfew 8pm,80415774535576.69,-0.09202109246918354
10283,Curfew 8pm,60220817789593.266,-0.1017780282896222
10284,Curfew 8pm,185831292304243.22,-0.04109092934557325
10285,Curfew 8pm,328766901447087.9,0.0279665874594288
10286,Curfew 8pm,112824696522957.25,-0.07636313509805093
10287,Curfew 8pm,33105081046471.266,-0.11487865071007732
10288,Curfew 8pm,39286226805137.67,-0.11189230896036893
10289,Curfew 8pm,8620276103525.93,-0.12670817198160916
1029,Curfew 8pm,98945224120848.45,-0.08306882519445874
10290,Curfew 8pm,73872344870457.44,-0.09518246706835523
10291,Curfew 8pm,129804068459685.55,-0.06815976807222332
10293,Curfew 8pm,39291498031130.484,-0.11188976223475057
10294,Curfew 8pm,157148199839860.6,-0.05494879969542433
10295,Curfew 8pm,84054208419417.58,-0.09026322953646865
10296,Curfew 8pm,164475748079869.62,-0.0514085882060803
10297,Curfew 8pm,893228770541070.4,0.3006791413464384
10298,Curfew 8pm,24651254347978.496,-0.11896300927403955
10299,Curfew 8pm,62598978463956.54,-0.10062905028673201
1030,Curfew 8pm,1545410151713793.5,0.6157722588720748
10300,Curfew 8pm,89086130531612.1,-0.08783212053635193
10301,Curfew 8pm,76739401956018.28,-0.09379728499893016
10302,Curfew 8pm,31704646473884.723,-0.11555525281511365
10303,Curfew 8pm,445000768192544.6,0.08412349793275273
10304,Curfew 8pm,310813120565665.0,0.019292447177890353
10305,Curfew 8pm,73322715738603.25,-0.09544801337439578
10306,Curfew 8pm,33616864221261.19,-0.11463138919557078
10307,Curfew 8pm,63178303254326.02,-0.10034915690196661
10308,Curfew 8pm,51237349077395.11,-0.10611827663837238
10309,Curfew 8pm,155125321142741.75,-0.05592612774165779
1031,Curfew 8pm,762050186257979.8,0.23730188117376297
10310,Curfew 8pm,78696417305831.67,-0.09285177798904065
10312,Curfew 8pm,78637671675799.84,-0.09288016019105086
10313,Curfew 8pm,122782688410470.72,-0.07155205830452219
10314,Curfew 8pm,37033840059962.13,-0.11298052089327419
10315,Curfew 8pm,341989892694063.3,0.034355107057353736
10316,Curfew 8pm,23228270146641.836,-0.11965050594464774
