app,LN-2019,C5-2019,C6-2019,LA-2019,C52-2019,LN-C5,LN-C6,LN-C52,LL,LA-C5,LA-C6,LA-C52,C5-C6,C5-C52,C6-C52
Apple iMessage,2.3381491232697815,2.1184245977332092,2.275142953676348,2.836608110014782,2.4812442183424355,1.5647358743084108,1.3180595246440667,2.267471562754639,1.8187228186269209,2.0995601758700473,1.7186550467358026,2.336312122320649,1.650476321812923,2.3992003369573047,2.370377067434081
Dropbox,2.6302185886224803,2.2756396690097422,3.3875235590394186,3.480752217289231,2.778213165084755,2.3800232696512698,2.3500107793010483,3.306948358593687,3.0469593280364333,3.6139528963578096,2.645921638208683,3.492450145530393,3.29211259490747,3.482394904163281,3.7500740925254723
Amazon,1.8759782194766115,2.0428975790938595,1.5368668042827829,1.5940790382906005,1.350818113967187,2.0673553487615415,1.4615029203056544,1.8370531856153567,1.5591478350448864,1.8282971657252212,1.6015972183251663,1.5093405592777016,1.8519519243211948,1.9752303998157201,1.3321785086224833
Waze,3.8484470003474085,2.618414829360331,2.8997382515955024,2.7881691181034056,2.4797498670465665,3.1895912497927044,2.821462819667956,3.5505039243440732,2.1547674614327628,2.2499256052648025,2.320716899940335,2.6237716710927717,2.064977674205496,2.575970285093387,2.291930593739665
NewsMag,2.706047038455785,2.72581312600843,2.807480764154863,3.2346405156434352,3.143103310361746,1.63423958868802,1.3340962674600163,2.0330499719966073,2.0051976933590017,2.077581587600118,1.6469289724383434,2.03503848723013,1.444563035466572,2.0023759460699146,1.7530906885399624
OneFichier,3.595025400979367,3.4102446697728217,2.9117198196652843,3.4734721146901704,3.246602947916995,2.5980763608412247,2.205148284079843,3.0981370541277062,2.4354694760275546,2.527253916987265,2.325788156077652,2.481921448168238,2.5202038456317033,2.9405108089122916,2.498870139762663
Soundcloud,2.151963040353319,2.5780230679527047,2.081718129745644,2.892722775976789,2.2081618814727046,1.6289370440037425,1.7204507003149185,1.6370281033150305,2.046876848557546,1.7565604545515563,2.122555296668684,1.6863037691210996,1.8444352224314275,1.6282909498697382,1.5049525367993275
Orange Mail,1.1791410151276513,1.377564893661056,1.116382215861191,1.0068564363797887,1.0025050571457093,0.9196459808827893,0.5530766281381432,0.8656153535677311,0.753811937547069,1.184373357096477,0.7133816344492565,0.7834899506124405,1.1305075059704974,1.3598071852482734,0.7303746775286628
BitTorrent,3.1546797782753475,2.8285643143103667,2.6488084348309333,2.5146557927420576,2.5254420636181356,2.029238523480895,1.993973958567536,2.378223017018428,2.2898708924088775,2.5311024090065732,1.983606729536473,2.177246772149331,2.156177547189477,2.281072926412472,2.2260611144572864
WebM Streaming,2.3979929034037184,2.322231978430064,1.9762245361384576,2.064483656268553,2.216074696523775,1.9936733925736365,2.0821727243860924,2.167605675454991,2.1519907998020256,2.195396850016503,1.8697250245308121,2.141934657392917,1.7944668997910707,2.1629263503202143,2.006089913736913
Women-targeted Sites,3.2608646899382148,3.82418892226122,3.0575718451481153,3.7923507596277988,3.594495545067829,3.836237220498856,3.0336561208779314,2.7298772880712994,3.7727169776403784,3.515952359073274,3.307786038921546,3.630716912344745,3.3987390868043375,3.6844475364312075,2.7968125405813424
VK,6.097746992337526,7.004565102028183,6.451691931574596,6.228448938882165,6.38835460258324,3.99095868909482,3.7845020109195233,3.516708525634884,3.5382988976541574,3.522167285152471,3.690561664205591,3.960476874721802,3.606167987842599,3.6989454254675396,3.3986878102847307
Yahoo,2.8139424673697695,3.0882452699007303,3.254269427683051,3.65188395082182,3.792958330689904,2.079721011477007,1.9333304516951604,2.704509102545939,2.3418495301269155,2.411317502224707,1.8809579952467934,2.7289288590280854,2.3201146818588754,2.8425533161347003,2.3341122834575105
Sports News,5.181847456837872,6.519514998459822,3.8979652307929777,5.030707653778328,4.152714831047017,5.539124259684646,3.9275072889333336,4.956440786860892,3.2895438157331975,4.516448645151389,3.45452422640471,4.516601645211856,5.63459605324263,6.855810738997184,3.662207274129862
Transport,2.259169069896631,1.8393760758230764,1.8880246220684787,1.5539303293873088,1.4712164880307557,2.710103540912063,2.3344529893954875,2.5925175426094,2.5064296548003178,1.59918999465022,1.5763039902114566,1.4967728998546093,1.48444644254295,1.5404278183726223,1.4940575520176518
World of Warcraft,3.2345103899506915,3.84597358895727,3.513988990401508,3.4986301470858936,3.482834417366226,3.7071124862437745,3.168631665297614,3.8493791564141233,3.61543473761349,3.0832948428415503,2.93460660961331,3.8604611538104203,2.7810522967345457,3.837421856244398,3.4005311549773074
Blogging,2.9033369656376466,2.97997945094262,3.0751548066379355,2.897663890100114,2.7173013187877264,1.8815372228982004,1.6218158556302888,2.06998323518719,1.7676816409386027,2.1452461138287653,1.907562367501954,2.007798487674134,2.1841762445028006,2.2623700288273767,2.0233705629766456
Microsoft Skydrive,3.0507731667440323,3.144321953737399,3.353755879484522,4.1281783727174695,4.285354233788212,2.1283096138242956,1.5041925443288773,2.475288282380302,2.1761212085995694,2.8571608556208337,2.1941657965712706,2.008877604538222,2.1686343433293738,2.9934284620505314,2.2062595311608026
Finances,4.085074451884698,3.6076603159517733,3.588388001511649,3.7786405560348397,3.2701170708047966,1.5736915996918053,1.363751037209801,1.9466330693086056,1.4620640874268427,1.449932391730436,1.1074020479972824,1.6467838020352066,1.1282468968036776,1.5405202659046693,1.5719657939519243
Generic Weather,2.968217590461754,4.009102762819562,3.2894782091814494,3.1190257496426415,3.694421903288101,2.786339935888084,2.963705046592569,2.655520283204445,2.724488211184096,3.5513185547744124,3.1244097647772877,2.740047264593368,3.50459849762389,2.2359433509452438,2.46653130634091
Generic Mail ,1.3230131833091106,1.5570657623352167,1.449622063823321,1.4123462147507004,1.37767127319727,1.018133906899649,0.6468984561334814,0.6115544652880034,0.678832238687949,0.9435439766116283,0.6802522569420308,0.6222013992885137,0.9333018309456099,1.0314899222723777,0.6080797009765233
Adult Content,3.5333628366490606,3.596860692154792,3.2295049639692546,3.7277695614141715,3.744165281046454,2.616363785556105,2.7819905984289472,3.0571813185616272,2.946144357096023,3.3900072471376634,3.1011797592314387,2.9139923200202,3.0348956271443415,3.3854214733857497,3.1447209850426363
Gmail,1.2505890404006321,1.3562446744148808,1.2457876285376637,1.3824307049957465,1.3157760895804629,0.9683272183974383,0.9341029267200369,1.0533498924810232,0.9405899512952349,1.1175260199458543,1.1066913696666634,1.077786214882637,1.19620304959764,1.3284896940589144,0.8451337143753799
Microsoft Office,2.289684811907779,3.083684694377432,2.9871408599996934,2.8282628657965865,2.8331706452883747,2.887761095137935,2.496420785966796,3.059807313675105,2.628945143642861,3.4869551298429564,2.384601115131859,2.7501714139732703,3.3145299070825622,4.050771469976543,2.804929900251079
Apple,3.0944465257008624,4.781868158565091,3.2252244816730817,2.9499699475021877,2.2756379175126447,2.774054875356703,2.2785831571713544,1.9321460450220131,1.8760235050376486,3.064896623618422,2.091087928882455,1.8453039188129994,2.384595490914345,3.085419646190185,1.7013186863862628
Badoo,2.4177379604037688,2.808640480244473,2.2516956270295054,2.4112586664912996,2.3706661143373267,1.629466871527033,1.3404752965228994,1.5352208973982482,1.1903880285551878,1.9407549394938421,1.345952707574316,1.229908359286822,1.8276931690079197,2.039087852467364,1.5499761909068617
