insee,norm_km2_total_traffic,norm_total_traffic
10436,75584880131872.47,-0.05666688976215827
10437,127330458916492.73,-0.04337890401783363
10438,24675410717358.97,-0.069740167126528
10439,154698749227911.38,-0.03635087456978428
1044,128723711500183.36,-0.04302112426340508
10440,60389159891539.49,-0.06056906882114107
10441,20563993490192.73,-0.07079595691160223
10442,44196567448483.01,-0.06472723928904867
10443,193014562561500.62,-0.026511580212325796
10444,8987999744840.133,-0.07376860971552361
10445,174559356667832.9,-0.03125077761978663
1045,98427770219014.89,-0.050800958701641474
1046,333700545846032.75,0.009615822055069206
1047,337339656938775.4,0.010550326170360889
1049,526811973588902.9,0.059205795907600854
1050,210737557847485.94,-0.021960410542601252
1051,11475138027450.07,-0.07312992600921038
1052,87221022710471.06,-0.05367879106203699
1053,537170513582170.44,0.061865813149566004
1054,335092555381419.9,0.009973282601392939
1056,53797130744124.54,-0.062261866377848606
1057,328333739446820.9,0.008237655096649301
1058,122998280159304.89,-0.0444913841740028
1059,185653494216436.7,-0.02840186289018196
1060,70417716459701.12,-0.057993789544267045
1061,362657972046668.56,0.01705193303467519
1062,342532940231539.7,0.011883933330263833
1063,671042916295833.1,0.09624352464878218
1064,205545316752108.47,-0.023293750071832275
1065,126547242579167.9,-0.04358002975204202
1066,4552522908795.355,-0.07490761626160872
1067,64749479299411.21,-0.05944936229754292
1068,31927529527300.406,-0.06787786210209773
1069,128873971952928.58,-0.04298253818898268
1071,1590503728777621.8,0.33235610577531705
1072,202518174877052.8,-0.024071103790286444
1073,194490323899756.8,-0.02613261265441335
1074,58728898256635.61,-0.060995415060851293
1075,183397959923756.56,-0.028981071940132268
1076,53516993801784.945,-0.062333804034817544
1077,81286740309599.95,-0.05520268279921878
1078,131356582927825.72,-0.04234501707088974
1079,90849688601544.66,-0.052746969218238536
1080,44632375317087.54,-0.06461532617721769
1081,37807037820523.055,-0.06636803606054997
1082,125795523758674.28,-0.04377306709368692
1083,103228433852734.5,-0.04956817415412137
1084,213286450993935.6,-0.021305868520087506
1085,301549721001846.06,0.0013596635149156545
1087,81331610007626.89,-0.05519116050259484
1088,439369583929825.06,0.03675106152196762
1089,337524733489207.25,0.010597852831024669
1090,81738583939398.25,-0.05508665179033946
1091,90830484710083.3,-0.05275190067406467
1092,165289765906303.2,-0.033631158568033746
1093,103270769309466.45,-0.049557302637003454
1094,69852259040741.805,-0.05813899596187092
1095,26502388953197.85,-0.06927100896223215
1096,124494555302510.47,-0.04410714878154039
1097,243907986544222.78,-0.013442423228361753
1098,83919779299399.61,-0.054526532577644525
1099,289296977357799.5,-0.001786775015584393
1100,46319149935942.75,-0.06418217154612293
11001,127223730730141.69,-0.04340631124086718
11002,186000121393079.84,-0.02831285089939911
11003,186578128497482.16,-0.028164421790211155
11004,46274320533593.1,-0.06419368349503413
11005,95911744976131.64,-0.05144706042366397
11006,18612418921063.086,-0.07129711074276371
11007,43725244954584.81,-0.0648482723652457
11008,7284647086473.913,-0.07420602149781591
11009,63975253069054.914,-0.0596481794207348
1101,178014146025163.75,-0.030363606332729713
11010,196243695930588.12,-0.025682356166856022
11011,124970768650891.3,-0.043984859760271916
11012,376355588908679.25,0.020569407220271056
11013,740536043667536.9,0.11408898521822108
11014,84834322129791.92,-0.054291682907812645
11015,7185422960525.141,-0.07423150171858199
11016,105602189645365.22,-0.04895860646014942
11017,62183658473028.17,-0.06010825125703027
11018,110366524835412.95,-0.047735150861168765
11019,70266940046224.01,-0.05803250811462459
1102,138162003149539.17,-0.040597421836393206
11020,36374039477300.35,-0.06673602231181293
11021,15611505935783.652,-0.07206772902368637
11022,140355599836686.39,-0.04003411802972532
11023,315094943310910.0,0.004838003600659281
11025,602762333683538.0,0.07870943903843766
11026,886630309205505.1,0.15160520521986284
11027,125299996066807.56,-0.043900315934266125
11028,36846584352014.84,-0.0666146753348104
11029,155979470256869.66,-0.03602199231211182
1103,558971333743022.6,0.06746414626934337
11030,333865863763638.0,0.00965827480531408
11031,111985566854917.36,-0.0473193895965362
11032,240411927160734.4,-0.014340192435707316
11033,14195382226951.465,-0.07243138195978524
11034,142406657174702.8,-0.03950741755968525
11035,19423513178695.695,-0.07108882610887092
11036,100390738568264.0,-0.05029687900915313
11037,774842828091413.5,0.12289878255869616
11038,13665087032146.22,-0.07256755890773639
11039,209155135655515.22,-0.02236676803288909
1104,137889857992468.14,-0.040667307245977655
11040,68043772136409.5,-0.05860340565189662
11041,114533668075154.56,-0.046665050936405654
11042,286471673133656.25,-0.002512297913106877
11043,548040893430586.56,0.06465726810772524
11044,54315376175353.42,-0.06212878374424054
11045,228120159907777.72,-0.017496652018654146
11046,11702104533575.254,-0.07307164223369433
11047,35510602910365.11,-0.06695774816863094
11048,83592418286917.84,-0.054610597121307496
11049,125743513461192.66,-0.04378642305776591
1105,206118953252485.22,-0.02314644331020231
11051,238875878188230.06,-0.014734641533168929
11052,50029688966778.81,-0.06322932512129631
11053,267940837544115.16,-0.007270916618854777
11054,355425054450283.7,0.015194558778399545
11055,9214456448860.568,-0.07371045685444044
11056,94136311635791.52,-0.051902982136601696
11057,1671701030999229.5,0.35320713536548226
11058,231848501762134.28,-0.01653923392469742
11059,288762705196597.56,-0.001923973227071998
1106,12581656949349.973,-0.07284577791375219
11060,52329961572431.31,-0.06263862751369596
11061,196055849051200.47,-0.025730594233064705
11062,53969111481851.625,-0.06221770265130633
11063,279740446175083.66,-0.0042408407175002615
11064,149588289565034.6,-0.03766321306791769
11065,33095283805467.99,-0.0675779890971836
11066,20263553803244.977,-0.07087310820396303
11067,48587452051953.195,-0.06359968378795476
11068,125287543038393.61,-0.043903513804846084
11069,332561380927635.94,0.009323290643659221
1107,214483371414096.78,-0.020998505807103027
11070,236093498336340.34,-0.015449141683241567
11071,15572101789394.953,-0.07207784779610671
11072,140281588743603.83,-0.04005312367953932
11073,47827501608776.516,-0.06379483496593959
11074,166310862964659.9,-0.03336894634674444
11075,61660640739564.44,-0.06024255939213148
11076,222494256175394.94,-0.018941353775803384
11077,228789406460052.3,-0.017324793110996006
11078,296810783514697.1,0.00014272990915614536
11079,100141634568106.27,-0.050360847573824676
1108,137410942848341.66,-0.040790290073832024
11080,245357606816350.53,-0.013070168555341405
11081,40241357789428.05,-0.06574291581252699
11082,405700355289626.9,0.028104985070575517
11083,50927636881512.61,-0.06299873693636572
11084,171212007171673.72,-0.0321103589295517
11085,271601500219096.0,-0.006330878173398558
11086,62106950799226.875,-0.06012794937423936
11087,314448377950727.5,0.004671969100888012
11088,768398184500712.0,0.1212438328186046
11089,454853836214546.7,0.04072733405487938
1109,403345376041904.06,0.027500239092137994
11090,244520550228415.88,-0.013285120175729399
11091,44392627701098.31,-0.06467689207286186
11092,105204862799382.06,-0.049060637852768235
11093,17655454833557.95,-0.0715428539627889
11094,153590397036413.28,-0.03663549343899471
11095,144618604543056.25,-0.03893940139698629
11096,82437090851193.0,-0.05490727898005795
11097,398193383180033.1,0.026177235092349888
11098,378759527876004.56,0.02118672579082958
11099,134684463458467.92,-0.041490435286539645
1110,328161770811002.56,0.008193494477811971
11100,77957347076716.44,-0.05605765303735159
11101,168733580414659.56,-0.03274680556304351
11102,214959891283996.7,-0.020876138072760488
11103,210086933161907.66,-0.02212748745525605
11104,12135072638091.898,-0.07296045835797596
11105,578149853285103.2,0.07238908672335108
11106,212717370928936.16,-0.021452005213669904
11107,88160977724134.42,-0.05343741568050241
11108,167484786876320.53,-0.033067489013201105
11109,310507471594612.25,0.0036599655885156254
1111,121771848977923.27,-0.04480632509141772
11110,199187050614391.72,-0.024926518547536594
11111,166225572281431.03,-0.03339084853451562
11112,42701086778593.35,-0.06511127066504543
11113,34288920788008.758,-0.06727146955328366
11114,1584545567383186.5,0.33082608204128605
11115,37305865545514.59,-0.06649673439965798
